['/content/data/coco/val2014/COCO_val2014_000000310196.jpg']	Is there a snowboard in the image?	Yes,	Yes
['/content/data/coco/val2014/COCO_val2014_000000310196.jpg']	Is there a dining table in the image?	No,	No
['/content/data/coco/val2014/COCO_val2014_000000310196.jpg']	Is there a person in the image?	Yes,	Yes
['/content/data/coco/val2014/COCO_val2014_000000310196.jpg']	Is there a car in the image?	No,	No
['/content/data/coco/val2014/COCO_val2014_000000310196.jpg']	Is there a skis in the image?	Yes,	Yes
['/content/data/coco/val2014/COCO_val2014_000000310196.jpg']	Is there a chair in the image?	No,	No
['/content/data/coco/val2014/COCO_val2014_000000210789.jpg']	Is there a truck in the image?	Yes,	Yes
['/content/data/coco/val2014/COCO_val2014_000000210789.jpg']	Is there a dining table in the image?	Yes,	No
['/content/data/coco/val2014/COCO_val2014_000000210789.jpg']	Is there a person in the image?	Yes,	Yes
['/content/data/coco/val2014/COCO_val2014_000000210789.jpg']	Is there a car in the image?	Yes,	No
['/content/data/coco/val2014/COCO_val2014_000000210789.jpg']	Is there an umbrella in the image?	Yes,	Yes
['/content/data/coco/val2014/COCO_val2014_000000210789.jpg']	Is there a chair in the image?	No,	No
['/content/data/coco/val2014/COCO_val2014_000000429109.jpg']	Is there a person in the image?	Yes,	Yes
['/content/data/coco/val2014/COCO_val2014_000000429109.jpg']	Is there a dining table in the image?	No,	No
['/content/data/coco/val2014/COCO_val2014_000000429109.jpg']	Is there a bicycle in the image?	Yes,	Yes
['/content/data/coco/val2014/COCO_val2014_000000429109.jpg']	Is there a chair in the image?	No,	No
['/content/data/coco/val2014/COCO_val2014_000000429109.jpg']	Is there a car in the image?	No,	Yes
['/content/data/coco/val2014/COCO_val2014_000000429109.jpg']	Is there a cup in the image?	No,	No
['/content/data/coco/val2014/COCO_val2014_000000211674.jpg']	Is there a person in the image?	Yes,	Yes
['/content/data/coco/val2014/COCO_val2014_000000211674.jpg']	Is there a dining table in the image?	No,	No
['/content/data/coco/val2014/COCO_val2014_000000211674.jpg']	Is there a potted plant in the image?	No,	Yes
