['/content/data/coco/val2014/COCO_val2014_000000310196.jpg']	Is there a snowboard in the image?	Yes, there is a snowboard in	Yes
['/content/data/coco/val2014/COCO_val2014_000000310196.jpg']	Is there a backpack in the image?	Yes, the man in the image is	No
['/content/data/coco/val2014/COCO_val2014_000000310196.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
['/content/data/coco/val2014/COCO_val2014_000000310196.jpg']	Is there a car in the image?	No, there is no car in the	No
['/content/data/coco/val2014/COCO_val2014_000000310196.jpg']	Is there a skis in the image?	Yes, there is a pair of sk	Yes
['/content/data/coco/val2014/COCO_val2014_000000310196.jpg']	Is there a dog in the image?	No, there is no dog in the	No
['/content/data/coco/val2014/COCO_val2014_000000210789.jpg']	Is there a truck in the image?	Yes, there is a truck in	Yes
['/content/data/coco/val2014/COCO_val2014_000000210789.jpg']	Is there a car in the image?	Yes, there is a car in the	No
['/content/data/coco/val2014/COCO_val2014_000000210789.jpg']	Is there a person in the image?	Yes, there is a woman in the	Yes
['/content/data/coco/val2014/COCO_val2014_000000210789.jpg']	Is there a dining table in the image?	Yes, there is a dining table	No
['/content/data/coco/val2014/COCO_val2014_000000210789.jpg']	Is there an umbrella in the imange?	Yes, there is an umbrella	Yes
['/content/data/coco/val2014/COCO_val2014_000000210789.jpg']	Is there a handbag in the image?	Yes, there is a handbag in	No
['/content/data/coco/val2014/COCO_val2014_000000429109.jpg']	Is there a person in the image?	Yes, there is a person on a	Yes
['/content/data/coco/val2014/COCO_val2014_000000429109.jpg']	Is there a dining table in the image?	No, there is no dining table	No
['/content/data/coco/val2014/COCO_val2014_000000429109.jpg']	Is there a bicycle in the image?	Yes, there is a bicycle	Yes
['/content/data/coco/val2014/COCO_val2014_000000429109.jpg']	Is there a motorcycle in the image?	Yes, there is a motorcycle in	No
['/content/data/coco/val2014/COCO_val2014_000000429109.jpg']	Is there a car in the image?	Yes, there is a car in the	Yes
['/content/data/coco/val2014/COCO_val2014_000000429109.jpg']	Is there a truck in the image?	Yes, there is a truck in	No
['/content/data/coco/val2014/COCO_val2014_000000211674.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
['/content/data/coco/val2014/COCO_val2014_000000211674.jpg']	Is there a dining table in the image?	Yes, there is a dining table	No
['/content/data/coco/val2014/COCO_val2014_000000211674.jpg']	Is there a potted plant in the image?	Yes, there is a potted plant	Yes
['/content/data/coco/val2014/COCO_val2014_000000211674.jpg']	Is there a vase in the image?	No, there is no vase in	No
['/content/data/coco/val2014/COCO_val2014_000000211674.jpg']	Is there a car in the image?	Yes, there is a red double-	Yes
['/content/data/coco/val2014/COCO_val2014_000000211674.jpg']	Is there a truck in the image?	Yes, there is a truck in	No
['/content/data/coco/val2014/COCO_val2014_000000458338.jpg']	Is there a traffic light in the image?	Yes, there is a traffic light visible	Yes
['/content/data/coco/val2014/COCO_val2014_000000458338.jpg']	Is there a bus in the image?	Yes, there is a bus in the	No
['/content/data/coco/val2014/COCO_val2014_000000458338.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
['/content/data/coco/val2014/COCO_val2014_000000458338.jpg']	Is there a dining table in the image?	No, there is no dining table	No
['/content/data/coco/val2014/COCO_val2014_000000458338.jpg']	Is there a car in the image?	Yes, there is a car in the	Yes
['/content/data/coco/val2014/COCO_val2014_000000458338.jpg']	Is there a truck in the image?	Yes, there is a truck in	No
['/content/data/coco/val2014/COCO_val2014_000000283412.jpg']	Is there a dog in the image?	Yes, there is a small white dog	Yes
